سن نوزاد,واکسن‌ها,توضیح واکسن
بدو تولد,BCG,پیشگیری از سل
,هپاتیت B (HepB),پیشگیری از هپاتیت B
,فلج اطفال خوراکی (OPV),پیشگیری از فلج اطفال
۲ ماهگی,پنج‌گانه (DTP + Hib + HepB),دیفتری + کزاز + سیاه‌سرفه + Hib + هپاتیت B
,فلج اطفال تزریقی (IPV),پیشگیری از فلج اطفال
,روتا (Rotavirus),جلوگیری از اسهال شدید و کم‌آبی
۴ ماهگی,پنج‌گانه,همان ترکیب ۵تایی بالا
,فلج اطفال (IPV),تزریقی
,روتا,خوراکی
۶ ماهگی,پنج‌گانه,دوز سوم
,فلج اطفال (OPV یا IPV),بر اساس مراکز
ماهگی ۱۲,MMR,سرخک + سرخجه + اوریون
۱۸ ماهگی,پنج‌گانه (یادآور),تقویت ایمنی ۵ بیماری
,فلج اطفال یادآور (OPV/IPV),تقویتی
۱۸–۱۹ ماهگی (اختیاری),آبله‌مرغان (Varicella),اختیاری / غیردولتی
